destination,people,origin
101011004,2,101011002
101011004,8,101011002
101011005,0,101011002
101011005,1,101011002
101011006,1,101011002
101011006,1,101011002
101011006,1,101011002
101021007,0,101011002
101021007,1,101011002
101021008,1,101011002
101021009,10,101011002
101021010,3,101011002
101021011,2,101011002
101021011,0,101011002
101021011,5,101011002
101021011,0,101011002
101021012,3,101011002
103011061,1,101011002
103041076,2,101011002
103041076,0,101011002
103041078,0,101011002
103041078,1,101011002
103041079,3,101011002
103041079,0,101011002
104021088,1,101011002
105021098,0,101011002
105021098,1,101011002
106011112,1,101011002
107011130,1,101011002
107011133,1,101011002
107011134,1,101011002
107041144,1,101011002
107041149,2,101011002
109011175,0,101011002
109011175,1,101011002
110031195,1,101011002
110041205,1,101011002
113031263,3,101011002
113031263,0,101011002
113031263,0,101011002
113031266,0,101011002
113031266,2,101011002
113031270,1,101011002
114011278,1,101011002
114021284,29,101011002
114021286,15,101011002
114021287,39,101011002
114021288,0,101011002
114021288,4,101011002
114021289,18,101011002
115021297,0,101011002
115021297,0,101011002
115021297,1,101011002
117011320,2,101011002
117011321,1,101011002
117011322,2,101011002
117021328,1,101011002
117021328,0,101011002
117031332,0,101011002
117031332,0,101011002
117031334,1,101011002
117031336,1,101011002
117031337,9,101011002
117031338,1,101011002
118011341,2,101011002
118011343,1,101011002
118011346,1,101011002
118021348,1,101011002
119011355,1,101011002
119011355,0,101011002
119011356,1,101011002
119011357,1,101011002
119011357,0,101011002
119031372,1,101011002
120011384,1,101011002
120021388,1,101011002
121011398,1,101011002
121011400,1,101011002
121021406,1,101011002
121041415,1,101011002
122031428,1,101011002
123011433,1,101011002
123011433,0,101011002
123011434,1,101011002
123011435,1,101011002
123021436,1,101011002
123021437,4,101011002
123021440,1,101011002
123021440,0,101011002
123021443,2,101011002
123031446,3,101011002
123031447,0,101011002
123031447,1,101011002
123031448,1,101011002
124051471,1,101011002
125011473,1,101011002
125031479,1,101011002
125041491,1,101011002
125041491,0,101011002
126021500,2,101011002
127011505,1,101011002
127021518,0,101011002
127021518,0,101011002
127021520,1,101011002
127021521,3,101011002
127031523,2,101011002
127031525,2,101011002
128011527,2,101011002
199999599,121,101011002
101011001,16,101011002
101011002,7,101011002
101011002,0,101011002
101011002,17,101011002
101011003,0,101011002
